"Date","hs","fp","tm","dir","U10","V10","t.tide","res","a.tide","lg.hs.p","lg.hs.r"
2001-01-03 02:00:00,2.642,0.15,5.22,276,16.6,1.5,0.67,0.28,0.39,-0.186885268170485,1.15842147427062
2001-01-03 03:00:00,2.802,0.143,5.47,276.6,15.8,1.7,1.6,0.28,1.32,-0.186875980150686,1.2172094280655
2001-01-03 04:00:00,2.788,0.141,5.62,277.1,15,2.5,2.06,0.25,1.81,-0.188158259908566,1.21348275280684
2001-01-03 05:00:00,2.662,0.139,5.61,276.8,13.8,3.1,2.07,0.29,1.78,-0.190082897463085,1.169160617436
2001-01-23 22:00:00,2.708,0.157,5.09,242.5,13.4,12.6,2.86,0.63,2.23,-0.157156344744454,1.15336669979448
2001-01-23 23:00:00,2.87,0.149,5.45,250.8,14.5,9.6,3.21,0.58,2.63,-0.156519769837518,1.21083179960905
2001-01-24 00:00:00,2.844,0.144,5.58,257,14.5,7.4,2.87,0.58,2.29,-0.155139067881487,1.20035057982248
2001-01-24 01:00:00,2.656,0.145,5.51,260.5,13.7,6.3,1.97,0.65,1.32,-0.154760771633924,1.13158200324811
2001-02-06 22:00:00,2.562,0.162,5.26,234.7,7.8,15.2,3.56,0.44,3.12,-0.542661135268035,1.48344933874258
2001-02-06 23:00:00,2.652,0.16,5.34,237.5,8.6,15.1,3.1,0.46,2.64,-0.542742241446645,1.51805631377026
2001-02-07 00:00:00,2.674,0.159,5.4,240.4,9,14.2,2.1,0.58,1.52,-0.542066825259476,1.52564230393923
2001-02-07 01:00:00,2.63,0.158,5.43,243.4,10,13,0.69,0.53,0.16,-0.542381639186634,1.50936548537631
2001-02-07 02:00:00,2.576,0.156,5.43,246.5,10.7,12,-0.77,0.56,-1.33,-0.544058683530454,1.49029649177256
2001-02-27 05:00:00,2.588,0.138,5.59,329,2.5,-15.4,-0.9,-0.02,-0.88,-0.430747656843517,1.38163303348217
2001-02-27 06:00:00,2.802,0.135,5.69,330.2,2.9,-16.1,-2.12,0,-2.12,-0.429831548812305,1.46016499672712
